Cluster,Rank,COG,Description,log2_fold_enrichment,Prevalence_in_cluster,Prevalence_in_other_clusters,Mean_per_1000_genes_in_cluster,Mean_per_1000_genes_in_other_clusters
4,26,COG4846,COG4846 Membrane protein involved in cytochrome C biogenesis,6.194762828911114,0.224657534246575,0.0,0.07225030334353637,0.0
4,27,COG4098,COG4098 Superfamily II DNA RNA helicase required for DNA uptake (late competence protein),6.176727453838518,0.8493150684931479,0.012077890066551635,0.4126304254964765,0.004717843154469246
4,28,COG4347,Protein of unknown function (DUF1405),6.171445852761141,0.2410958904109585,0.0,0.07107594053409443,0.0
4,29,COG2322,Protein of unknown function (DUF420),6.164372212305954,0.2410958904109585,0.00024648755237860487,0.07649518073972333,8.047259300640053e-05
4,30,COG2514,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,6.122139974177762,0.4301369863013687,0.00616218880946512,0.22444259223224997,0.0022365938130350827
4,31,COG3425,Hydroxymethylglutaryl-CoA synthase,6.119666735083197,0.5342465753424642,0.00566921370470791,0.2950165753203509,0.0032570894840371046
4,32,COG4840,Belongs to the UPF0435 family,6.052969793069573,0.2301369863013695,0.0,0.06539348578888839,0.0
4,33,COG1547,Domain of unknown function (DUF309),5.816831270939266,0.2082191780821915,0.0007394626571358146,0.06931780540508017,0.0002474542179820587
4,34,COG4837,Protein of unknown function (DUF1462),5.806110872618144,0.17260273972602727,0.0,0.05495173148994441,0.0
4,35,COG1577,Mevalonate kinase,5.7723893431686655,0.5369863013698615,0.009859502095144192,0.5773665593447536,0.009581344048347928
4,36,COG5609,Uncharacterized conserved protein (DUF2294),5.674248792738016,0.15068493150684928,0.0009859502095144195,0.06496705023983738,0.0002918377617734386
4,37,COG4365,"Involved in bacillithiol (BSH) biosynthesis. May catalyze the last step of the pathway, the addition of cysteine to glucosamine malate (GlcN-Mal) to generate BSH",5.613636917002482,0.22191780821917775,0.0009859502095144195,0.06478622276859436,0.00034357481516364603
4,38,COG4362,Belongs to the NOS family. Bacterial NOS oxygenase subfamily,5.6136026712972384,0.15616438356164378,0.0,0.04796241017355377,0.0
4,39,COG3407,decarboxylase,5.612800424198297,0.5287671232876697,0.008380576780872563,0.2908313776463967,0.004963630098374271
4,40,COG4896,Uncharacterized protein conserved in bacteria (DUF2197),5.609461832984225,0.15068493150684928,0.0,0.04782207924056567,0.0
4,41,COG4873,Uncharacterized protein conserved in bacteria (DUF2187),5.551461078028226,0.13698630136986303,0.0,0.04589821402438053,0.0
4,42,COG3684,Belongs to the aldolase LacD family,5.356393129537638,0.34246575342465674,0.013310327828444659,0.25315684630295454,0.005203928905957644
4,43,COG4330,Protein of unknown function (DUF1361),5.297132196262819,0.29315068493150626,0.0054227261523293055,0.13753800011402206,0.0025234915308254215
4,44,COG4537,Required for transformation and DNA binding,5.233299237272828,0.7452054794520524,0.008627064333251168,0.3659983797284534,0.008756276503008153
4,45,COG4116,Adenylate cyclase,5.122146275559255,0.6356164383561624,0.011091939857037216,0.2951168037734996,0.007502436202676305
4,46,COG4815,MepB protein,4.982302307689247,0.12054794520547953,0.001478925314271629,0.05083473610079625,0.0006398285740440319
4,47,COG4863,YycH protein,4.901210857584731,0.5150684931506835,0.010105989647522797,0.21992740444490208,0.0063932962215604875
4,48,COG2318,DinB family,4.8211307062080415,0.290410958904109,0.025881192999753503,0.39154256563072465,0.012886148363803217
4,49,COG4844,Belongs to the UPF0741 family,4.812109471979248,0.257534246575342,0.004190288390436282,0.14300893748958957,0.004126254371552857
4,50,COG1257,Belongs to the HMG-CoA reductase family,4.691951943928787,0.46575342465753294,0.017254128666502336,0.260400703449436,0.009113197267050285
5,1,COG5282,hydrolase,7.5488499097378154,0.3173333333333334,0.0007412898443291327,0.24202589164389532,0.0002978433901109936
