OG,Description,Prevalence_Gut,Prevalence_Vaginal,Mean_per_1000_genes_Gut,Mean_per_1000_genes_Vaginal,log2FC_Vaginal_vs_Gut,Rank_biserial_Vaginal_vs_Gut,P_value,Q_value_BH,Significant_q<0.05,Higher_in
COG1541,GH3 auxin-responsive promoter,0.4051433389544837,0.22900763358778703,0.3675879304861559,0.16638842177205632,-1.1388090899185193,-0.18908228527047954,1.9849445802451794e-22,2.1716101534164917e-21,True,Gut
COG1237,hmm pf00753,0.16652613827993118,0.03435114503816795,0.0859352305430427,0.016006098937386328,-2.353888712091321,-0.13364008212865108,2.0909995234381215e-22,2.2843183473031553e-21,True,Gut
COG3037,PTS system,0.14038785834738526,0.2608142493638685,0.09883450278163165,0.3137428674133307,1.6565632825595487,0.13725922445494287,2.121611148827807e-22,2.31440103148216e-21,True,Vaginal
COG2201,May play the central regulatory role in sporulation. It may be an element of the effector pathway responsible for the activation of sporulation genes in response to nutritional stress. Spo0A may act in concert with spo0H (a sigma factor) to control the expression of some genes that are critical to the sporulation process,0.28625632377740434,0.11450381679389299,0.19955867469355643,0.09993855579162253,-0.9905470177725637,-0.16730226261430003,2.219738654221491e-22,2.4179410781946687e-21,True,Gut
2DKYS,Domain of unknown function (DUF4867),0.11424957841483933,0.002544529262086514,0.07065605800033346,0.001423563698487376,-4.88588677260562,-0.11181151817858048,2.23187067123497e-22,2.42764314196324e-21,True,Gut
COG5549,Domain of unknown function (DUF5117),0.08790050590219224,0.1984732824427486,0.09814293163620304,0.24531375554038484,1.3129153735134138,0.11441075696527347,2.291938462541737e-22,2.4893825119122154e-21,True,Vaginal
COG0620,"Cobalamin-independent synthase, Catalytic domain",0.4011382799325608,0.5305343511450356,0.2798759329252538,0.5006728933526103,0.8368139764654589,0.1937940089852348,2.546072082433568e-22,2.7614242888296065e-21,True,Vaginal
28NYM,,0.009696458684654293,0.05725190839694653,0.006403408311568914,0.044858185641843976,2.6309177733036986,0.04760238190251842,2.6081016371904747e-22,2.8246303630406767e-21,True,Vaginal
COG2000,Putative Fe-S cluster,0.12415682967959464,0.0076335877862595426,0.07306249269143836,0.005658436222788852,-3.475487810688748,-0.11618130736454568,2.6252442934193527e-22,2.83911117766774e-21,True,Gut
COG1979,Iron-containing alcohol dehydrogenase,0.5056913996627567,0.30025445292620895,0.37732121390447154,0.22303995624773953,-0.7558556243776342,-0.19973535608391368,2.851496790838758e-22,3.079371068098039e-21,True,Gut
COG0490,TrkA C-terminal domain protein,0.2124789207419877,0.06615776081424932,0.12236977038575444,0.0359565602319458,-1.7390865426287654,-0.14814561529978676,3.047453808477114e-22,3.2862728963334148e-21,True,Gut
COG0861,"COG0861 Membrane protein TerC, possibly involved in tellurium resistance",0.19962057335581593,0.358778625954198,0.13582029225171272,0.2414724079936697,0.8255383692263757,0.15670711953280203,3.502824801781885e-22,3.771925934622639e-21,True,Vaginal
COG1148,Electron transport complex,0.3216694772344067,0.14503816793893132,0.2568601803751041,0.11191397013747491,-1.1913650118058805,-0.1737263408124472,3.802756288303588e-22,4.089049511723016e-21,True,Gut
COG2919,Septum formation initiator,0.811762225969625,0.8384223918574998,0.5304542216185657,0.7124805962636938,0.4249287685625913,0.2144602637213633,3.8469718339198015e-22,4.130692866464243e-21,True,Vaginal
29Y4M,,0.11066610455311933,0.001272264631043257,0.07121624227889436,0.0007757711164897909,-5.3458058063546074,-0.10938096709275735,4.272362639881937e-22,4.58092216387341e-21,True,Gut
COG1040,competence protein,0.7660202360876757,0.8625954198473214,0.4925199637051728,0.6464624194122324,0.39168801176340545,0.21372275787495343,4.3173984367917215e-22,4.622625609350111e-21,True,Vaginal
28J28,,0.13069139966273113,0.011450381679389315,0.07983215474567039,0.011367037835816525,-2.708429320087347,-0.11823613274461597,5.125304168782494e-22,5.479852908867306e-21,True,Gut
2DHWG,Putative amino acid metabolism,0.03161888701517704,0.1055979643765902,0.017459317236479536,0.06497316729507081,1.8375301763636458,0.0745478955069534,5.861337051752273e-22,6.257912622487852e-21,True,Vaginal
2DEFM,,0.12204890387858287,0.0076335877862595426,0.07692472511906948,0.004935880643440886,-3.714547172557249,-0.11431447892932389,5.952591755751477e-22,6.346339680671581e-21,True,Gut
